ca,k,MAP,optwL
400,0.025,182.5,0.163197855
400,0.05,182.5,0.161641188
400,0.1,182.5,0.160097831
400,0.025,365,0.165534242
400,0.05,365,0.164226298
400,0.1,365,0.163188089
400,0.025,547.5,0.167047511
400,0.05,547.5,0.165807665
400,0.1,547.5,0.164959158
400,0.025,730,0.16821922
400,0.05,730,0.167054064
400,0.1,730,0.16630955
400,0.025,912.5,0.169164774
400,0.05,912.5,0.168132238
400,0.1,912.5,0.167472873
400,0.025,1095,0.169938685
400,0.05,1095,0.169095992
400,0.1,1095,0.168541797
400,0.025,1277.5,0.170578827
400,0.05,1277.5,0.169964114
400,0.1,1277.5,0.169557979
400,0.025,1460,0.171113948
400,0.05,1460,0.170745813
400,0.1,1460,0.170537868
400,0.025,1642.5,0.171566028
400,0.05,1642.5,0.171448596
400,0.1,1642.5,0.171484679
400,0.025,1825,0.171951845
400,0.05,1825,0.172079972
400,0.1,1825,0.172395862
400,0.025,2007.5,0.172284251
400,0.05,2007.5,0.17264741
400,0.1,2007.5,0.173267362
400,0.025,2190,0.172573162
400,0.05,2190,0.173158053
400,0.1,2190,0.174095557
400,0.025,2372.5,0.172826282
400,0.05,2372.5,0.173618474
400,0.1,2372.5,0.174877923
400,0.025,2555,0.173049673
400,0.05,2555,0.1740346
400,0.1,2555,0.175613079
400,0.025,2737.5,0.173248137
400,0.05,2737.5,0.174411675
400,0.1,2737.5,0.176300658
400,0.025,2920,0.173425533
400,0.05,2920,0.174754305
400,0.1,2920,0.176941137
400,0.025,3102.5,0.173584965
400,0.05,3102.5,0.175066506
400,0.1,3102.5,0.177535656
400,0.025,3285,0.173728985
400,0.05,3285,0.175351781
400,0.1,3285,0.178085873
400,0.025,3467.5,0.173859682
400,0.05,3467.5,0.175613166
400,0.1,3467.5,0.178593839
400,0.025,3650,0.173978797
400,0.05,3650,0.175853308
400,0.1,3650,0.179061869
